case_id,category,symptom,initial_evidence,expected_next_command,additional_evidence,expected_fault,osi_layer,concept,severity,expected_fix,stage,rule_solvable
V1_01,Gateway,PC0 cannot reach remote host 192.168.20.10,PC0: ipconfig shows IPv4 address 192.168.10.10 with an incorrect default gateway | Router0: show ip interface brief shows 192.168.10.1 as the active router interface for the 192.168.10.0/24 network,,,Incorrect default gateway,Layer 3,Default Gateway,High,Set PC0 default gateway to 192.168.10.1,single,yes
V1_02,VLAN,PC0 cannot communicate with PC1,PC0 ping to 192.168.10.11 shows 100% packet loss | Switch0: show vlan brief shows Fa0/1 in VLAN 10 and Fa0/2 in VLAN 20 | Switch0: show mac address-table learns PC0 on Fa0/1 in VLAN 10,,,PC1 switch port Fa0/2 is assigned to the wrong VLAN (VLAN 20 instead of VLAN 10),Layer 2,VLAN Assignment,High,Assign Fa0/2 to VLAN 10 using: interface fa0/2; switchport access vlan 10,single,yes
V1_03,ACL,PC0 can reach its gateway but cannot ping Server0 at 192.168.20.10,PC0 ping to 192.168.20.10 returns Destination host unreachable from 192.168.10.1 | PC0 ping to 192.168.10.1 succeeds | Router0: show ip route shows 192.168.10.0/24 and 192.168.20.0/24 directly connected | Router0: show ip interface brief shows GigabitEthernet0/0 and GigabitEthernet0/1 up/up,show access-lists,Extended IP access list 101: 10 deny icmp host 192.168.10.10 host 192.168.20.10 (4 match(es)) | 20 permit ip any any (4 match(es)),ACL 101 denies ICMP traffic from PC0 (192.168.10.10) to Server0 (192.168.20.10),Layer 3,ACL Filtering,High,Remove or modify the deny rule in ACL 101 to permit the intended ICMP traffic,two-stage,no
V1_04,Gateway,"PC2 cannot reach any network resources, not even devices in its own subnet","PC2: ipconfig shows IPv4 address 192.168.30.15, subnet mask 255.255.255.0, default gateway 10.0.0.1 | Router1: show ip interface brief shows GigabitEthernet0/0 as 192.168.30.1, status up/up, for the 192.168.30.0/24 network",,,PC2's default gateway 10.0.0.1 is outside the local subnet 192.168.30.0/24,Layer 3,Default Gateway,High,Set PC2 default gateway to 192.168.30.1,single,yes
V1_05,Gateway,PC3 can ping devices on its own subnet but cannot reach the 192.168.40.0/24 server subnet,"PC3: ipconfig shows IPv4 address 192.168.50.20, subnet mask 255.255.255.0, default gateway 192.168.50.2 | PC3 ping to 192.168.50.2 succeeds | PC3 ping to 192.168.40.10 fails with Request timed out",show ip interface brief,Router2: show ip interface brief shows GigabitEthernet0/0 192.168.50.1 up/up and GigabitEthernet0/1 192.168.40.1 up/up,PC3's default gateway 192.168.50.2 does not match the router's actual interface address 192.168.50.1 on that subnet,Layer 3,Default Gateway,High,Set PC3 default gateway to 192.168.50.1,two-stage,no
V1_06,Gateway,PC4 can reach the internet but PC5 on the same switch cannot,"PC4: ipconfig shows IPv4 address 192.168.60.10, default gateway 192.168.60.1 | PC5: ipconfig shows IPv4 address 192.168.60.11, default gateway 192.168.60.10 | Router3: show ip interface brief shows GigabitEthernet0/0 192.168.60.1 up/up for the 192.168.60.0/24 network",,,PC5's default gateway 192.168.60.10 is set to a host address instead of the router interface 192.168.60.1,Layer 3,Default Gateway,Medium,Set PC5 default gateway to 192.168.60.1,single,yes
V1_07,VLAN,"PCs connected in VLAN 1 (management) on Switch1 cannot reach VLAN 1 devices on Switch2 across the trunk, even though PCs in VLAN 10, 20, and 30 communicate normally across the same trunk link","PC-Mgmt0 (Switch1, VLAN 1) ping to PC-Mgmt1 (Switch2, VLAN 1) at 192.168.1.11 times out | A PC in VLAN 10 on Switch1 successfully pings its VLAN 10 peer on Switch2 across the same trunk | Switch1: show interfaces trunk shows Gi0/1 trunking, native vlan 1, allowed vlans 1,10,20,30",show interfaces trunk,"Switch2: show interfaces trunk shows Gi0/1 trunking, native vlan 99, allowed vlans 1,10,20,30","Native VLAN mismatch: Switch1's trunk uses native VLAN 1 while Switch2's trunk uses native VLAN 99, so untagged VLAN 1 traffic sent by Switch1 arrives on Switch2 already associated with VLAN 99; explicitly tagged VLANs (10, 20, 30) are unaffected",Layer 2,Native VLAN Mismatch,Medium,"Set matching native VLANs on both ends of the trunk, e.g. on Switch2: interface gi0/1; switchport trunk native vlan 1",two-stage,no
V1_08,VLAN,Clients in VLAN 10 cannot reach Server1 which should also be in VLAN 10,Server1 ping to gateway 192.168.10.1 fails | Switch4: show vlan brief shows Fa0/10 (Server1 port) in VLAN 40 | Switch4: show running-config interface fa0/10 shows switchport access vlan 40,,,Server1's switch port Fa0/10 is assigned to VLAN 40 instead of VLAN 10,Layer 2,VLAN Assignment,High,Assign Fa0/10 to VLAN 10 using: interface fa0/10; switchport access vlan 10,single,yes
V1_09,VLAN,PC6 in VLAN 20 on Switch5 cannot reach PC7 in VLAN 20 on Switch6,"PC6 ping to PC7 (192.168.20.12) times out | Switch5: show interfaces trunk shows Gi0/2 trunking, allowed vlans 1,10,20 | Switch6: show interfaces trunk shows Gi0/2 trunking, allowed vlans 1,10",,,VLAN 20 is not included in the allowed VLAN list on Switch6's trunk interface Gi0/2,Layer 2,Trunking,Medium,Add VLAN 20 to the allowed list on Switch6 Gi0/2 using: switchport trunk allowed vlan add 20,single,no
V1_10,DHCP,PCs in the 192.168.70.0/24 subnet are not receiving IP addresses from DHCP,PC8: ipconfig shows Autoconfiguration IP address 169.254.x.x | Router4: show ip dhcp pool shows pool LAN_POOL exists with default-router 192.168.70.1,show running-config | section dhcp,ip dhcp pool LAN_POOL network 192.168.80.0 255.255.255.0 default-router 192.168.70.1,The DHCP pool LAN_POOL network statement (192.168.80.0/24) does not match the actual client subnet (192.168.70.0/24),Layer 3,DHCP,High,Correct the pool network statement: network 192.168.70.0 255.255.255.0,two-stage,no
